,Unnamed: 0,Close,High,Low,Open,time,volume,MA_20,MA_200,ATR,ExpMA,kelt_upper,kelt_lower
454,454,109.495,109.495,109.495,109.495,2003-10-21 04:00:00,1,109.89624999999997,117.33057500000004,0.0,110.27598586767057,110.27598586767057,110.27598586767057
455,455,108.985,108.985,108.985,108.985,2003-10-22 04:00:00,1,109.80674999999997,117.28607500000005,0.0,110.15303483265431,110.15303483265431,110.15303483265431
456,456,109.515,109.515,109.515,109.515,2003-10-23 04:00:00,1,109.70699999999995,117.24722500000006,0.0,110.09226961049677,110.09226961049677,110.09226961049677
457,457,109.25,109.25,109.25,109.25,2003-10-24 04:00:00,1,109.63574999999994,117.20645000000006,0.0,110.01205345711612,110.01205345711612,110.01205345711612
458,458,109.26,109.26,109.26,109.26,2003-10-26 04:00:00,1,109.56349999999995,117.16740000000006,0.0,109.94042931834316,109.94042931834316,109.94042931834316
459,459,108.545,108.545,108.545,108.545,2003-10-27 05:00:00,1,109.44674999999995,117.12462500000005,0.0,109.80753128802476,109.80753128802476,109.80753128802476
460,460,108.325,108.325,108.325,108.325,2003-10-28 05:00:00,1,109.31349999999995,117.08085000000004,0.0,109.6663378320224,109.6663378320224,109.6663378320224
461,461,108.255,108.255,108.255,108.255,2003-10-29 05:00:00,1,109.17699999999995,117.03800000000005,0.0,109.53192470516314,109.53192470516314,109.53192470516314
462,462,108.725,108.725,108.725,108.725,2003-10-30 05:00:00,1,109.11674999999995,116.99600000000004,0.0,109.45507473324284,109.45507473324284,109.45507473324284
463,463,109.93,109.93,109.93,109.93,2003-10-31 05:00:00,1,109.13249999999996,116.95922500000005,0.0,109.50030571102923,109.50030571102923,109.50030571102923
464,464,109.86,109.86,109.86,109.86,2003-11-02 05:00:00,1,109.17124999999996,116.91585000000005,0.0,109.53456230997882,109.53456230997882,109.53456230997882
465,465,111.175,111.175,111.175,111.175,2003-11-03 05:00:00,1,109.29599999999998,116.88012500000005,0.0,109.69079447093321,109.69079447093321,109.69079447093321
466,466,109.585,109.585,109.585,109.585,2003-11-04 05:00:00,1,109.35074999999999,116.83690000000004,0.0,109.68071880703481,109.68071880703481,109.68071880703481
467,467,109.935,109.935,109.935,109.935,2003-11-05 05:00:00,1,109.40149999999998,116.79430000000004,0.0,109.70493606350769,109.70493606350769,109.70493606350769
468,468,110.245,110.245,110.245,110.245,2003-11-06 05:00:00,1,109.47049999999999,116.75135000000004,0.0,109.756370724126,109.756370724126,109.756370724126
469,469,109.3,109.3,109.3,109.3,2003-11-07 05:00:00,1,109.45875000000001,116.69555000000004,0.0,109.7129068456378,109.7129068456378,109.7129068456378
470,470,109.29,109.29,109.29,109.29,2003-11-09 05:00:00,1,109.42550000000001,116.64097500000004,0.0,109.67263000319612,109.67263000319612,109.67263000319612
471,471,108.525,108.525,108.525,108.525,2003-11-10 05:00:00,1,109.38325000000002,116.57510000000003,0.0,109.56333190765363,109.56333190765363,109.56333190765363
472,472,108.775,108.775,108.775,108.775,2003-11-11 05:00:00,1,109.36800000000002,116.51312500000006,0.0,109.48825267835329,109.48825267835329,109.48825267835329
473,473,108.795,108.795,108.795,108.795,2003-11-12 05:00:00,1,109.28850000000003,116.45322500000003,0.0,109.42222861374822,109.42222861374822,109.42222861374822
474,474,108.155,108.155,108.155,108.155,2003-11-13 05:00:00,1,109.22150000000003,116.39322500000004,0.0,109.30154017434363,109.30154017434363,109.30154017434363
475,475,108.31,108.31,108.31,108.31,2003-11-14 05:00:00,1,109.18775000000002,116.33450000000005,0.0,109.2071077767871,109.2071077767871,109.2071077767871
476,476,108.27,108.27,108.27,108.27,2003-11-16 05:00:00,1,109.12550000000003,116.27612500000005,0.0,109.11785941709309,109.11785941709309,109.11785941709309
477,477,108.925,108.925,108.925,108.925,2003-11-17 05:00:00,1,109.10925000000005,116.22205000000004,0.0,109.09949185356041,109.09949185356041,109.09949185356041
478,478,108.075,108.075,108.075,108.075,2003-11-18 05:00:00,1,109.05000000000003,116.16322500000004,0.0,109.00192120084037,109.00192120084037,109.00192120084037
479,479,109.275,109.275,109.275,109.275,2003-11-19 05:00:00,1,109.08650000000003,116.11972500000006,0.0,109.02792870552224,109.02792870552224,109.02792870552224
480,480,108.945,108.945,108.945,108.945,2003-11-20 05:00:00,1,109.11750000000004,116.07412500000005,0.0,109.02003073356774,109.02003073356774,109.02003073356774
481,481,108.77,108.77,108.77,108.77,2003-11-21 05:00:00,1,109.14325000000004,116.02340000000005,0.0,108.99621828275176,108.99621828275176,108.99621828275176
482,482,108.79,108.79,108.79,108.79,2003-11-23 05:00:00,1,109.14650000000003,115.97002500000006,0.0,108.97657844629921,108.97657844629921,108.97657844629921
483,483,109.435,109.435,109.435,109.435,2003-11-24 05:00:00,1,109.12175000000005,115.91730000000007,0.0,109.02023764188976,109.02023764188976,109.02023764188976
484,484,109.405,109.405,109.405,109.405,2003-11-25 05:00:00,1,109.09900000000005,115.86237500000007,0.0,109.0568816759955,109.0568816759955,109.0568816759955
485,485,108.98,108.98,108.98,108.98,2003-11-26 05:00:00,1,108.98925000000004,115.80840000000006,0.0,109.04955961161497,109.04955961161497,109.04955961161497
486,486,109.105,109.105,109.105,109.105,2003-11-27 05:00:00,1,108.96525000000004,115.75445000000005,0.0,109.05483964860402,109.05483964860402,109.05483964860402
487,487,109.61,109.61,109.61,109.61,2003-11-28 05:00:00,1,108.94900000000004,115.70222500000006,0.0,109.10771206302267,109.10771206302267,109.10771206302267
488,488,109.69,109.69,109.69,109.69,2003-11-30 05:00:00,1,108.92125000000006,115.65235000000004,0.0,109.16316805702053,109.16316805702053,109.16316805702053
489,489,109.345,109.345,109.345,109.345,2003-12-01 05:00:00,1,108.92350000000003,115.59647500000004,0.0,109.18048538492333,109.18048538492333,109.18048538492333
