,Close,High,Low,Open,time,volume
3849,101.859,102.142,101.604,102.097,2014-06-12 04:00:00,35340
3850,102.0255,102.138,101.817,101.859,2014-06-13 04:00:00,28139
3851,101.7645,102.08,101.752,102.0455,2014-06-15 04:00:00,5818
3852,101.973,102.07,101.722,101.765,2014-06-16 04:00:00,26217
3853,102.192,102.243,101.904,101.9725,2014-06-17 04:00:00,25993
3854,101.9305,102.375,101.867,102.1925,2014-06-18 04:00:00,36926
3855,101.8395,102.002,101.742,101.93,2014-06-19 04:00:00,25870
3856,102.0775,102.196,101.82,101.84,2014-06-20 04:00:00,16783
3857,101.9515,102.137,101.924,102.1085,2014-06-22 04:00:00,5008
3858,101.905,101.96,101.818,101.951,2014-06-23 04:00:00,20050
3859,101.9135,102.168,101.845,101.905,2014-06-24 04:00:00,24632
3860,101.7425,101.954,101.623,101.9135,2014-06-25 04:00:00,34056
3861,101.3385,101.816,101.316,101.744,2014-06-26 04:00:00,29022
3862,101.473,101.484,101.327,101.338,2014-06-27 04:00:00,18276
3863,101.3135,101.472,101.266,101.4265,2014-06-29 04:00:00,5357
3864,101.4805,101.531,101.238,101.313,2014-06-30 04:00:00,23729
3865,101.6135,101.652,101.393,101.4785,2014-07-01 04:00:00,23570
3866,101.861,101.944,101.412,101.613,2014-07-02 04:00:00,27582
3867,102.118,102.268,101.818,101.861,2014-07-03 04:00:00,30476
3868,102.076,102.126,101.972,102.118,2014-07-04 04:00:00,9051
3869,102.1445,102.202,102.056,102.0655,2014-07-06 04:00:00,4034
3870,101.8355,102.146,101.687,102.1445,2014-07-07 04:00:00,19603
3871,101.6335,101.861,101.446,101.833,2014-07-08 04:00:00,21317
3872,101.5275,101.862,101.5,101.633,2014-07-09 04:00:00,22477
3873,101.2735,101.57,101.065,101.527,2014-07-10 04:00:00,31777
3874,101.333,101.4,101.218,101.272,2014-07-11 04:00:00,16298
3875,101.3735,101.414,101.334,101.3815,2014-07-13 04:00:00,3706
3876,101.597,101.646,101.374,101.3735,2014-07-14 04:00:00,16594
3877,101.7375,101.765,101.435,101.5955,2014-07-15 04:00:00,25626
3878,101.54,101.792,101.517,101.7375,2014-07-16 04:00:00,17702
3879,101.311,101.586,101.089,101.5405,2014-07-17 04:00:00,31967
3880,101.3285,101.45,101.282,101.3105,2014-07-18 04:00:00,18335
3881,101.232,101.382,101.228,101.334,2014-07-20 04:00:00,2877
3882,101.483,101.514,101.199,101.2325,2014-07-21 04:00:00,17453
3883,101.4055,101.604,101.334,101.481,2014-07-22 04:00:00,21405
3884,101.5185,101.586,101.316,101.4045,2014-07-23 04:00:00,16986
3885,101.7555,101.86,101.418,101.517,2014-07-24 04:00:00,21709
3886,101.832,101.939,101.716,101.7585,2014-07-25 04:00:00,16626
3887,101.809,101.836,101.751,101.795,2014-07-27 04:00:00,4693
3888,101.967,101.978,101.758,101.8065,2014-07-28 04:00:00,17224
3889,102.098,102.16,101.858,101.967,2014-07-29 04:00:00,23942
3890,102.77,103.09,102.084,102.098,2014-07-30 04:00:00,35482
3891,102.8975,103.006,102.726,102.7705,2014-07-31 04:00:00,28692
3892,102.611,103.064,102.338,102.897,2014-08-01 04:00:00,32544
3893,102.641,102.692,102.482,102.5585,2014-08-03 04:00:00,1919
3894,102.589,102.73,102.407,102.643,2014-08-04 04:00:00,17006
3895,102.5615,102.926,102.464,102.5895,2014-08-05 04:00:00,24863
3896,102.1775,102.611,101.784,102.5605,2014-08-06 04:00:00,35086
3897,101.782,102.461,101.6,102.1755,2014-08-07 04:00:00,39739
3898,102.0245,102.082,101.51,101.7815,2014-08-08 04:00:00,29835
3899,102.1435,102.2,102.056,102.1845,2014-08-10 04:00:00,6568
3900,102.289,102.361,102.024,102.146,2014-08-11 04:00:00,17412
3901,102.3055,102.364,102.093,102.286,2014-08-12 04:00:00,19341
3902,102.5885,102.658,102.234,102.307,2014-08-13 04:00:00,22660
3903,102.515,102.622,102.312,102.5885,2014-08-14 04:00:00,19220
3904,102.355,102.718,102.138,102.5175,2014-08-15 04:00:00,27832
3905,102.3105,102.444,102.248,102.329,2014-08-17 04:00:00,1865
3906,102.604,102.652,102.302,102.3055,2014-08-18 04:00:00,5448
3907,103.1845,103.226,102.52,102.599,2014-08-19 04:00:00,8184
3908,103.8985,103.964,103.109,103.187,2014-08-20 04:00:00,14908
3909,103.759,103.954,103.597,103.903,2014-08-21 04:00:00,9372
3910,103.9455,104.198,103.504,103.7545,2014-08-22 04:00:00,16929
3911,104.2245,104.275,104.126,104.2745,2014-08-24 04:00:00,3255
3912,103.8625,104.25,103.749,104.2205,2014-08-25 04:00:00,8922
3913,103.9655,104.176,103.826,103.8585,2014-08-26 04:00:00,9269
3914,103.7585,104.075,103.699,103.9695,2014-08-27 04:00:00,9078
3915,103.8,103.904,103.556,103.7625,2014-08-28 04:00:00,11187
3916,104.083,104.12,103.759,103.7955,2014-08-29 04:00:00,7294
3917,104.1785,104.216,104.12,104.1815,2014-08-31 04:00:00,1246
3918,104.8045,104.856,104.1,104.1755,2014-09-01 04:00:00,5008
3919,105.2855,105.312,104.762,104.8095,2014-09-02 04:00:00,11192
3920,104.8205,105.286,104.742,105.2825,2014-09-03 04:00:00,13014
3921,105.3445,105.708,104.774,104.8155,2014-09-04 04:00:00,19614
3922,105.0835,105.374,104.684,105.3395,2014-09-05 04:00:00,15072
3923,105.0605,105.232,104.99,104.995,2014-09-07 04:00:00,3174
3924,106.2255,106.342,105.042,105.0575,2014-09-08 04:00:00,15873
3925,106.3385,106.476,106.038,106.2205,2014-09-09 04:00:00,17735
3926,106.7615,106.886,106.312,106.344,2014-09-10 04:00:00,21398
3927,107.3445,107.39,106.648,106.7565,2014-09-11 04:00:00,24492
3928,107.3505,107.396,107.094,107.3475,2014-09-12 04:00:00,13536
3929,107.175,107.366,107.16,107.2055,2014-09-14 04:00:00,2194
3930,107.1345,107.355,106.928,107.171,2014-09-15 04:00:00,12514
3931,107.1985,107.334,106.81,107.1375,2014-09-16 04:00:00,17368
3932,108.6525,108.683,107.14,107.2025,2014-09-17 04:00:00,41305
3933,109.2255,109.466,108.503,108.6495,2014-09-18 04:00:00,31698
3934,109.0375,109.278,108.592,109.2305,2014-09-19 04:00:00,21488
3935,108.789,109.196,108.668,109.037,2014-09-21 04:00:00,6107
3936,108.7715,109.196,108.602,108.7845,2014-09-22 04:00:00,17964
3937,108.5985,108.994,108.25,108.776,2014-09-23 04:00:00,26779
3938,109.132,109.345,108.491,108.594,2014-09-24 04:00:00,23715
3939,108.9165,109.378,108.48,109.128,2014-09-25 04:00:00,37888
3940,109.2885,109.542,108.85,108.921,2014-09-26 04:00:00,22664
3941,109.401,109.518,109.26,109.3055,2014-09-28 04:00:00,9207
3942,109.3085,109.744,109.124,109.398,2014-09-29 04:00:00,29821
3943,109.889,110.093,109.224,109.3135,2014-09-30 04:00:00,33023
3944,108.6585,109.996,108.546,109.8945,2014-10-01 04:00:00,47270
3945,108.804,108.958,108.008,108.6645,2014-10-02 04:00:00,61886
3946,109.762,109.907,108.66,108.808,2014-10-03 04:00:00,31849
3947,109.6055,109.909,109.542,109.719,2014-10-05 04:00:00,5137
3948,109.1085,109.657,108.65,109.61,2014-10-06 04:00:00,39123
3949,108.3685,109.146,107.752,109.114,2014-10-07 04:00:00,60422
3950,107.933,108.745,107.828,108.363,2014-10-08 04:00:00,62534
3951,107.798,108.188,107.528,107.9305,2014-10-09 04:00:00,59802
3952,107.651,108.158,107.62,107.7935,2014-10-10 04:00:00,43092
3953,107.155,107.631,107.063,107.549,2014-10-12 04:00:00,9405
3954,107.2245,107.576,106.76,107.15,2014-10-13 04:00:00,38957
3955,107.1985,107.414,106.671,107.2195,2014-10-14 04:00:00,50213
3956,106.0865,107.5,105.192,107.203,2014-10-15 04:00:00,120081
3957,106.164,106.502,105.508,106.091,2014-10-16 04:00:00,95134
3958,106.892,106.944,106.144,106.1595,2014-10-17 04:00:00,43206
3959,107.374,107.395,106.998,107.216,2014-10-19 04:00:00,9584
3960,106.5815,107.384,106.526,107.379,2014-10-20 04:00:00,39696
3961,106.9115,107.116,106.253,106.5775,2014-10-21 04:00:00,38265
3962,107.331,107.38,106.789,106.906,2014-10-22 04:00:00,30545
